CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
00.846.898/0001-13;2005-03-16;Fundo Multimercado;2005-03-16;
00.849.567/0001-37;2005-03-16;Fundo Multimercado;2005-03-16;
00.852.311/0001-89;2005-04-04;Fundo Referenciado;2005-03-24;2016-06-03
00.852.311/0001-89;2005-04-04;Fundo de Renda Fixa;2016-06-03;
00.854.426/0001-02;2005-04-13;Fundo Referenciado;2005-03-31;2006-03-13
00.854.426/0001-02;2005-04-13;Fundo de Renda Fixa;2006-03-13;2012-06-04
00.854.426/0001-02;2005-04-13;Fundo Referenciado;2012-06-04;
00.854.428/0001-00;2005-04-13;Fundo Multimercado;2005-03-31;
00.855.065/0001-19;2005-03-18;Fundo Multimercado;2005-03-08;
00.856.171/0001-17;2005-03-10;Fundo Multimercado;2005-03-01;2007-08-31
00.856.171/0001-17;2005-03-10;Fundo de Renda Fixa;2007-08-31;2008-12-01
00.856.171/0001-17;2005-03-10;Fundo Multimercado;2008-12-01;
00.856.746/0001-00;2005-04-08;Fundo Referenciado;2005-03-31;
00.856.751/0001-04;2005-03-31;Fundo Multimercado;2005-03-31;2008-06-30
00.856.751/0001-04;2005-03-31;Fundo de Renda Fixa;2008-06-30;
00.856.755/0001-92;2005-01-13;Fundo Referenciado;2005-01-01;2016-04-07
00.856.755/0001-92;2005-01-13;Fundo de Renda Fixa;2016-04-07;
00.857.141/0001-25;2005-03-19;Fundo Multimercado;2005-03-18;
00.857.142/0001-70;2005-03-19;Fundo de Renda Fixa;2005-03-18;
00.857.143/0001-14;2005-03-19;Fundo Multimercado;2005-03-18;
00.857.361/0001-59;2005-08-01;Fundo de Renda Fixa;2005-07-21;2017-12-04
00.857.361/0001-59;2005-08-01;Fundo Multimercado;2017-12-04;
00.857.364/0001-92;2005-08-01;Fundo de Renda Fixa;2005-07-21;2007-05-01
00.857.364/0001-92;2005-08-01;Fundo de Curto Prazo;2007-05-01;
00.857.368/0001-70;2005-08-01;Fundo de Renda Fixa;2005-07-21;
00.861.108/0001-79;2005-03-08;Fundo Referenciado;2005-02-28;
00.861.127/0001-03;2005-04-06;Fundo Multimercado;2005-03-28;
